Date,Open,High,Low,Close,Adj Close,Volume
2021-07-30,167.397507,168.406998,165.348999,166.379501,166.379501,199312000
2021-08-02,167.654999,167.945999,165.850006,166.574005,166.574005,67078000
2021-08-03,167.035995,169.550003,164.988495,168.311996,168.311996,83146000
2021-08-04,168.967499,169.444000,167.278000,167.735992,167.735992,43678000
2021-08-05,167.811005,169.449997,167.046005,168.799500,168.799500,48670000
2021-08-06,168.750000,168.750000,166.451996,167.246994,167.246994,52752000
2021-08-09,167.180496,167.744003,166.425995,167.093506,167.093506,42964000
2021-08-10,167.250504,167.899994,165.750000,166.033997,166.033997,48252000
2021-08-11,166.572495,166.884995,163.889496,164.605499,164.605499,58944000
2021-08-12,164.500000,165.725494,163.483505,165.175003,165.175003,46282000
2021-08-13,165.283493,165.303497,164.149994,164.698502,164.698502,41134000
2021-08-16,164.149994,165.000000,160.556503,164.949493,164.949493,66394000
2021-08-17,163.875000,164.024506,161.283997,162.098007,162.098007,67758000
2021-08-18,162.099503,162.705002,160.000000,160.061005,160.061005,56086000
2021-08-19,159.701004,161.649994,159.123001,159.387497,159.387497,75658000
2021-08-20,160.193497,160.390503,158.787994,159.997498,159.997498,67168000
2021-08-23,160.595001,164.044998,160.500504,163.293503,163.293503,65362000
2021-08-24,164.000000,165.774506,163.729004,165.289001,165.289001,51036000
2021-08-25,165.493500,166.050003,164.307495,164.959000,164.959000,33606000
2021-08-26,164.949997,166.600006,164.800003,165.800003,165.800003,41976000
2021-08-27,166.661499,167.615997,165.687500,167.481506,167.481506,48048000
2021-08-30,167.871506,172.250000,167.761002,171.078506,171.078506,63844000
2021-08-31,171.240005,173.628998,169.779495,173.539505,173.539505,87128000
2021-09-01,174.820007,176.350006,173.761993,173.949997,173.949997,72598000
2021-09-02,174.738007,175.598007,172.750000,173.156006,173.156006,58474000
2021-09-03,172.600006,174.133499,171.822006,173.902496,173.902496,51514000
2021-09-07,173.899994,176.404495,173.847000,175.464493,175.464493,54758000
2021-09-08,175.582504,177.281494,174.783493,176.274994,176.274994,61068000
2021-09-09,176.300995,177.499496,174.018494,174.207993,174.207993,54384000
2021-09-10,175.091507,175.422501,173.145493,173.457504,173.457504,47946000
2021-09-13,174.139999,174.897995,171.899994,172.858505,172.858505,51380000
2021-09-14,173.777496,174.340500,171.885498,172.500000,172.500000,38738000
2021-09-15,172.126007,174.270996,170.100494,173.789505,173.789505,59150000
2021-09-16,172.998001,174.627502,172.307007,174.412003,174.412003,51672000
2021-09-17,174.420502,174.870499,172.606506,173.126007,173.126007,92332000
2021-09-20,169.800003,170.949997,165.250504,167.786499,167.786499,93382000
2021-09-21,168.750000,168.985001,166.619507,167.181503,167.181503,55618000
2021-09-22,167.550003,169.449997,167.052505,169.002502,169.002502,48228000
2021-09-23,169.002502,171.447998,169.002502,170.800003,170.800003,47588000
2021-09-24,170.100494,171.462997,169.669998,171.276001,171.276001,42324000
2021-09-27,168.574997,170.778503,166.980499,170.289993,170.289993,72690000
2021-09-28,167.885498,168.459503,164.505005,165.798004,165.798004,88616000
2021-09-29,166.105499,167.565002,164.893494,165.056000,165.056000,51246000
2021-09-30,165.800003,166.392502,163.699493,164.251999,164.251999,56848000
2021-10-01,164.450500,165.458496,162.796997,164.162994,164.162994,56712000
2021-10-04,163.969498,163.999496,158.812500,159.488998,159.488998,90462000
2021-10-05,160.225006,163.036499,160.123001,161.050003,161.050003,65384000
2021-10-06,160.676498,163.216995,159.931000,163.100494,163.100494,50660000
2021-10-07,164.576996,166.287506,164.153000,165.121506,165.121506,48182000
2021-10-08,165.850006,166.071503,164.410004,164.431000,164.431000,39964000
2021-10-11,163.750000,164.629501,161.904999,162.315002,162.315002,40684000
2021-10-12,162.850006,163.376495,161.813995,162.366501,162.366501,36392000
2021-10-13,163.485504,164.419006,163.054504,164.214005,164.214005,48402000
2021-10-14,165.122498,165.630005,164.539001,164.992996,164.992996,42190000
2021-10-15,165.570999,170.520996,165.199997,170.451004,170.451004,103598000
2021-10-18,169.417999,172.458496,169.255005,172.337006,172.337006,63482000
2021-10-19,171.714493,172.734497,171.100006,172.207504,172.207504,47722000
2021-10-20,172.632996,173.143005,170.018494,170.753006,170.753006,42796000
2021-10-21,170.712494,172.014008,170.149994,171.750504,171.750504,37628000
2021-10-22,171.050003,171.492004,166.565002,166.777496,166.777496,62782000
2021-10-25,166.750000,167.389999,164.884995,166.018494,166.018494,44520000
2021-10-26,167.475494,170.806000,167.199005,168.803497,168.803497,53966000
2021-10-27,169.399994,171.850006,168.572495,169.624496,169.624496,54044000
2021-10-28,170.104996,173.949997,169.300003,172.328506,172.328506,114174000
2021-10-29,165.001007,168.740997,163.666000,168.621506,168.621506,129722000
2021-11-01,168.089996,168.792999,164.600998,165.905502,165.905502,72178000
2021-11-02,165.750504,166.556000,164.177505,165.637497,165.637497,52552000
2021-11-03,165.449997,169.746002,164.876007,169.199997,169.199997,67944000
2021-11-04,168.500000,174.931503,168.250000,173.850006,173.850006,107060000
2021-11-05,173.850006,178.312500,173.848999,175.949493,175.949493,99940000
2021-11-08,176.162003,178.949997,174.393005,174.449005,174.449005,61480000
2021-11-09,175.762497,179.688507,175.071503,178.811493,178.811493,85898000
2021-11-10,178.193497,180.272507,173.154495,174.102493,174.102493,80548000
